IFRS_MONTH,KEY,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin,NAMA_PRODUK
2024-02-01,301_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_2_2021,9463.383444994573,617.4879629033658,-600.7317171008538,14111.613403200095,23591.75309399718,AJK
2023-12-01,301_2_2022,86073.37691466496,6.172378426923852e-15,0.0,-2.250705608475057e-12,1.79891412e-11,AJK
2024-01-01,301_2_2022,0.0,6.198653255506959e-15,0.0,-2.0646806452437705e-12,1.5930659208011735e-11,AJK
2024-02-01,301_2_2022,-60083.05756278958,2760.5307664686366,-3196.0836494901273,-7072.661366959558,-67591.27181277062,AJK
2024-03-01,301_2_2022,67591.27181277063,7.463931838832184e-15,4.725109192804666e-13,-2.6222336851157984e-12,1.79891412e-11,AJK
2023-12-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_2_2024,12916.354556022981,2665.5945238230943,-2606.0169698245018,-1312.2280386063321,11663.704071415243,AJK
2024-02-01,301_2_2024,-11663.704071415228,0.0,0.0,0.0,1.4551915228366852e-11,AJK
2024-03-01,301_2_2024,26876.41412421249,1426.058610070571,-1265.706415174908,-2353.431389276291,24683.334929831875,AJK
2023-12-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,301_4_2022,0.0,60984.957909658,-44563.93926195416,-314037.91595906625,3368692.4747989,AJK
2024-01-01,301_4_2022,0.0,56022.466000217944,-40948.03868137786,-300348.658733752,3083418.2433839883,AJK
2024-02-01,301_4_2022,0.0,50113.190446183326,-36329.79405997194,-286398.84477426053,2810802.794995939,AJK
2024-03-01,301_4_2022,0.0,45358.23664073319,-32808.1647243475,-272185.019331947,2551167.847580378,AJK
2023-12-01,301_4_2023,3666606.5355643043,125164.47066662148,-4010.015190414915,-1229897.9301756443,18660374.32746,AJK
2024-01-01,301_4_2023,0.0,95221.67643438367,2000.2432570658514,-1188925.7539789495,17568670.493172497,AJK
2024-02-01,301_4_2023,0.0,87553.24554367951,3881.3885268788313,-1152275.044371327,16507830.08287173,AJK
2024-03-01,301_4_2023,0.0,82472.34212934972,3310.154936988073,-1108978.9194266566,15484633.660511412,AJK
2024-01-01,301_4_2024,1080660.8726381485,19803.777789101754,-8636.215957936596,-74731.14615642144,1017097.2883128922,AJK
2024-02-01,301_4_2024,1611945.1354475836,32675.665205142188,-10594.165796104886,-175323.03654427905,2475800.886625234,AJK
2024-03-01,301_4_2024,2795452.122282289,61144.957011773986,-24779.093515010056,-340474.1865298497,4967144.685874438,AJK
2023-12-01,304_1_2022,0.0,5593.608271688679,-21.38176269245443,-42067.296124712564,977598.0967100001,AJK
2024-01-01,304_1_2022,0.0,5556.950246877377,-185.0798082463018,-41515.002950093825,941454.9641985373,AJK
2024-02-01,304_1_2022,0.0,5348.448561819182,-175.02910159604585,-40943.33510947173,905685.0485492888,AJK
2024-03-01,304_1_2022,0.0,5290.857024048117,-313.8003628641937,-40351.84762101274,870310.2575894599,AJK
2023-12-01,304_1_2023,0.0,-7044.418975405603,30893.373318992428,-205098.98353511505,4487767.943969999,AJK
2024-01-01,304_1_2023,0.0,-4606.381510717531,27423.798390832508,-202222.5926486978,4308362.768201416,AJK
2024-02-01,304_1_2023,0.0,-4212.777636404684,26058.684082137082,-199248.84188384726,4130959.8327633017,AJK
2024-03-01,304_1_2023,0.0,-2454.465334594546,23272.393274188187,-196172.12185105533,3955605.63885184,AJK
2023-12-01,304_2_2022,0.0,-44555.50937056187,42155.83604671317,-1132.2957975876614,46719.43194,AJK
2024-01-01,304_2_2022,0.0,-43205.36965026337,40829.18194393383,-1066.2294962451451,43277.014737425314,AJK
2024-02-01,304_2_2022,0.0,-43335.04283157927,40982.17743309843,-1000.1225210952168,39924.02681784927,AJK
2024-03-01,304_2_2022,0.0,-40560.3754745148,38232.31862217956,-934.0217660888828,36661.94819942514,AJK
2023-12-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,306_1_2023,311944.530073619,622332.7601818849,2061032.214357792,-14045136.598298572,258741061.9613568,AJK
2024-01-01,306_1_2023,0.0,-703179.0817792008,2140723.2153934184,-8137087.798869563,252041518.29610145,AJK
2024-02-01,306_1_2023,0.0,-848451.6605657492,2249412.531834823,-8048958.124344828,245393521.0430257,AJK
2024-03-01,306_1_2023,0.0,-883006.1343339942,2246457.0565196066,-7947957.933948819,238809014.0312625,AJK
2024-01-01,306_1_2024,709721.2498171153,4178.2518243872655,-139.04469565391992,-15311.741292547233,698448.7156533013,AJK
2024-02-01,306_1_2024,3120985.5890293187,21976.48974013392,-14.372694693697667,-58429.08838048001,3782967.33334758,AJK
2024-03-01,306_1_2024,2692124.871274848,106777.29390264154,-71948.56500186739,-133592.4864498653,6376328.447073337,AJK
2024-03-01,308_1_2024,945635.5531556886,13476.520404808933,-8840.82096395767,-55488.81424908094,894782.4383474588,AJK
2023-12-01,308_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,308_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,308_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,308_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,308_2_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,308_2_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,308_2_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,308_3_2024,1958229.7956921852,11096.415843418235,-330.44590249368764,-132043.46356715387,1836952.302065956,AJK
2024-03-01,308_3_2024,13969484.176753424,214462.63947570362,-136114.8045528348,-907252.8048872822,14977531.508854967,AJK
2023-12-01,AJK_Relife_11,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_11,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_11,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_11,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_12,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_12,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_12,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_12,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_13,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_13,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_13,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_13,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_14,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_14,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_14,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_14,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_15,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_15,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_15,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_15,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_16,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_16,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_16,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_16,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_17,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_17,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_17,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_17,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_18,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_18,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_18,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_5,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_5,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_5,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_5,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,AJK_Relife_7,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-01-01,AJK_Relife_7,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-02-01,AJK_Relife_7,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2024-03-01,AJK_Relife_7,0.0,0.0,0.0,0.0,0.0,AJK_RELIFE
2023-12-01,ASURANSI Q-INVESTA LINK DOLLAR_2019,0.0,20449633.22574629,-440469447.1664945,-35846451.81108085,1003716849.475,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK DOLLAR_2019,0.0,17114053.32915739,68345976.7852703,-13027365.160146367,1076149514.4292812,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK DOLLAR_2019,0.0,16365490.267977744,75835403.88349175,-13813694.271772126,1154536714.3089788,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK DOLLAR_2019,429040.5431826629,13609938.17194108,54302846.34647714,-14280750.241100142,1208597789.1294794,SPUL
2023-12-01,ASURANSI Q-INVESTA LINK DOLLAR_2020,0.0,26241038.646744244,-405124079.8809273,-44284841.59941094,1251958495.843,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK DOLLAR_2020,0.0,19875012.328121215,33758579.06712292,-15539014.842292463,1290053072.3959515,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK DOLLAR_2020,0.0,20645493.177202027,70551060.97440013,-16251804.864786126,1364997821.6827676,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK DOLLAR_2020,0.0,18136092.80331186,66677247.14801997,-16847543.791711617,1432963617.842388,SPUL
2023-12-01,ASURANSI Q-INVESTA LINK DOLLAR_2021,0.0,19058289.737145055,-398809505.7767645,-36536455.60303682,1046225584.818,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK DOLLAR_2021,0.0,17871669.824163705,40327164.281811565,-12472049.925533751,1091952368.9984415,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK DOLLAR_2021,0.0,14597349.105175799,35670669.521179125,-12669512.675523613,1129550874.9492729,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK DOLLAR_2021,0.0,11356828.195233969,24787339.451612376,-12712602.835036987,1152982439.7610822,SPUL
2023-12-01,ASURANSI Q-INVESTA LINK DOLLAR_2022,19895749.88907045,79724515.75940104,-138123201.43583632,-134613374.99543107,3689601007.496,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK DOLLAR_2022,0.0,59687937.024356484,30892306.541565366,-47131240.194593534,3733050010.867328,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK DOLLAR_2022,0.0,56999584.083685905,250611322.92561385,-49913710.07766312,3990747207.7989645,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK DOLLAR_2022,0.0,61454996.36471303,195800822.28161752,-51619471.54479502,4196383554.9005003,SPUL
2023-12-01,ASURANSI Q-INVESTA LINK DOLLAR_2023,0.0,35229296.7216755,133800436.93761973,-67396897.28956957,1934137374.98,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK DOLLAR_2023,0.0,32480611.051229544,102836878.20947766,-21483650.003346678,2047971214.2373605,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK DOLLAR_2023,0.0,30498161.146145355,120521633.2426625,-22533102.188397907,2176457906.4377704,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK DOLLAR_2023,0.0,21407145.17016431,70366200.13426165,-22903199.847280577,2245328051.894916,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK DOLLAR_2024,85019010.22865349,368679.262203299,-104050.43854657932,-2111530.055094344,83172108.99721587,SPUL_NEW
2024-03-01,ASURANSI Q-INVESTA LINK DOLLAR_2024,22530843.790047515,821256.9702507237,-832166.901697489,-2620851.125746973,103071191.73006964,SPUL_NEW
2023-12-01,ASURANSI Q-INVESTA LINK_2019,-263184201.30933148,6035395.759288645,-3455941475.174951,-63242939.39855751,2021496370.6083949,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK_2019,-17986715.627656884,68895096.43406741,887761479.2224789,-22188596.85268978,2937977633.7845945,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK_2019,-663943.7136052956,-60407241.220906615,-747780484.9151845,-15047355.530403433,2114078608.4044948,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK_2019,29361511.94858533,64326803.29205566,789628714.8190303,-20428977.716889303,2976966660.747277,SPUL
2023-12-01,ASURANSI Q-INVESTA LINK_2020,-21385554.048722953,-24247603.459134392,-2239123835.8858914,-55973113.270272404,1736020007.3642397,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK_2020,-12351369.802832104,66412207.88140969,699063473.39139,-22526343.409893803,2466617975.4243135,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK_2020,-5399408.354447833,-47103546.33193688,-590558426.6935568,-15537175.376911301,1808019418.667461,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK_2020,0.0,47594593.748297736,840626365.4439816,-22139020.182335462,2674101357.6774044,SPUL
2023-12-01,ASURANSI Q-INVESTA LINK_2021,-7953756597.361431,0.0,0.0,0.0,0.0,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK_2021,0.0,0.0,0.0,0.0,0.0,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK_2021,0.0,0.0,0.0,0.0,0.0,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK_2021,1054064193.9775393,65789330.8681525,1542149783.2796295,-21101869.787244074,2640901438.3380775,SPUL
2023-12-01,ASURANSI Q-INVESTA LINK_2022,-15782780108.446938,0.0,0.0,0.0,-2.28823509e-07,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK_2022,272392180.90690285,250045216.97455764,4337116168.101439,-38913776.41991537,4820639789.562984,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK_2022,-4820639789.562984,0.0,0.0,0.0,-2.28823509e-07,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK_2022,1425328874.3937628,137331380.78156477,3795651771.0411544,-39424901.63471728,5318887124.581765,SPUL
2023-12-01,ASURANSI Q-INVESTA LINK_2023,-9461864166.347162,0.0,0.0,0.0,0.0,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK_2023,-1558034646.3609252,116805801.14168815,2744912033.4452977,-10267962.589270376,1293415225.6367903,SPUL
2024-02-01,ASURANSI Q-INVESTA LINK_2023,-1293415225.63679,0.0,0.0,0.0,2.384185791015625e-07,SPUL
2024-03-01,ASURANSI Q-INVESTA LINK_2023,-974213491.4522945,28653970.311180744,2065015916.910962,-7819453.293130702,1111636942.476718,SPUL
2024-01-01,ASURANSI Q-INVESTA LINK_2024,10026555.780299662,-475238.111370918,-28619.86183725181,-259836.20053076174,9262861.606560731,SPUL_NEW
2024-02-01,ASURANSI Q-INVESTA LINK_2024,116071297.40103646,506143.8946827409,552562.6159172123,-3191406.351195686,123201459.16700144,SPUL_NEW
2024-03-01,ASURANSI Q-INVESTA LINK_2024,125819594.0839614,2033058.3703401661,-3170398.422010773,-6152719.486615359,241730993.71267688,SPUL_NEW
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2019,0.0,0.0,0.0,0.0,0.0,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2019,344133577.9896584,10464003.125498127,238722481.36368594,-8063638.452277044,585256424.0265654,SPUL
2024-02-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2019,0.0,9449796.580730882,202936330.07483053,-10389465.729106475,787253084.9530203,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2019,0.0,5541689.9361462025,62223336.98634031,-10783680.973313758,844234430.9021931,SPUL
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2020,-2679326025.934757,232249867.8099514,16699001505.72013,-487879236.6274325,13764046111.435999,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2020,0.0,234383900.6227039,1783680439.9599733,-203652560.70796403,15578457891.310713,SPUL
2024-02-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2020,-199873390.5742015,213229627.2023081,942916935.8526008,-203444361.9417523,16331286701.849667,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2020,0.0,120258154.67255242,431608431.1947097,-201964274.22298697,16681189013.493942,SPUL
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2021,0.0,2566517.220828115,-203879004.83036157,-4415940.238731878,126870038.24130002,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2021,0.0,2632056.4528832887,44743061.94056715,-2251108.0718915174,171994048.56285894,SPUL
2024-02-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2021,0.0,1909218.3116089718,-20928284.17310174,-1907291.6126173567,151067691.0887488,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2021,-4547001.435251175,1533584.7684491288,9626958.449703142,-1829777.7794090756,155851455.09224084,SPUL
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2022,0.0,30221103.53029849,-2129684582.4151022,-47300928.37400383,1346701621.3037,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2022,0.0,27798449.727494746,473418345.97620374,-25931600.000489935,1821986817.0069084,SPUL
2024-02-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2022,0.0,31328838.357187316,380721555.71083534,-30465405.01528118,2203571806.05965,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2022,0.0,24471851.081679165,173173943.7150321,-31748135.335172504,2369469465.5211887,SPUL
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2023,0.0,60076106.00665814,-3100615540.746357,-128854440.15426579,3553950241.6019998,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2023,0.0,73605005.4187734,1078310253.9561203,-62893791.59233426,4642971709.38456,SPUL
2024-02-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2023,0.0,69875403.21272074,735977496.8069378,-71201998.2980525,5377622611.106165,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2023,0.0,15644730.43371231,-2163037298.2609634,-38991035.21976529,3191239008.059149,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM DOLLAR_2024,34946602.45657413,264158.9705893817,-7971.729348920286,-879842.7394473508,34322946.95836724,SPUL_NEW
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM_2019,0.0,0.0,0.0,0.0,0.0,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM_2019,0.0,0.0,0.0,0.0,0.0,SPUL
2024-02-01,ASURANSI STAR INVESTAMA PREMIUM_2019,0.0,0.0,0.0,0.0,0.0,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM_2019,0.0,0.0,0.0,0.0,0.0,SPUL
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM_2020,-11358071.334000364,8089397.126380373,-2872181375.6612787,-14238168.511706902,449359800.52331525,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM_2020,-23288365.054789625,13021214.260389179,122158326.68204972,-6233206.124608668,555017770.2863559,SPUL
2024-02-01,ASURANSI STAR INVESTAMA PREMIUM_2020,-9143656.86036366,6289543.910792368,-33853910.50777205,-5457606.110452331,512852140.71856016,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM_2020,-9164477.992938384,3967553.5774494507,-239199308.58277994,-2866975.7471092213,265588931.97318208,SPUL
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM_2021,0.0,0.0,0.0,0.0,0.0,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM_2021,1637086235.0753608,128660952.90743499,847261622.7350224,-46968467.21197432,2566040343.505844,SPUL
2024-02-01,ASURANSI STAR INVESTAMA PREMIUM_2021,-2566040343.505843,0.0,0.0,0.0,9.5367431640625e-07,SPUL
2024-03-01,ASURANSI STAR INVESTAMA PREMIUM_2021,0.0,0.0,0.0,0.0,9.5367431640625e-07,SPUL
2023-12-01,ASURANSI STAR INVESTAMA PREMIUM_2022,-5389013313.797365,-1.607082235840427e-09,1253865.5830622502,-1253865.5830622483,-8.350572931999999e-07,SPUL
2024-01-01,ASURANSI STAR INVESTAMA PREMIUM_2022,4583136965.335273,87326840.08966891,2000335070.8490694,-64252693.35423118,6606546182.91978,SPUL
